"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"一","场","比赛",3021,30,32,"010801.csv",68993,0.883
"一","项","统计",3022,30,32,"010801.csv",443,0.458
"８２","场","常规赛",3030,40,41,"010801.csv",1119,0.881
"一","场","比赛",3030,12,13,"010801.csv",68993,0.883
"五","盘","比分",3046,2,5,"010801.csv",3020,0.767
"４","名","警察",3050,6,8,"010801.csv",3249,0.782
"一","名","锁匠",3050,12,13,"010801.csv",10,0.455
"两","只","箱子",3051,9,10,"010801.csv",71,0.178
"一","名","职员",3054,26,28,"010801.csv",552,0.686
"第一","个","火锅",3074,13,14,"010801.csv",287,0.837
"一","个","破绽",3075,19,20,"010801.csv",11,0.846
"一","门","炮手",3076,30,34,"010801.csv",4,0.129
"４３３","个","外语",3079,21,23,"010801.csv",14,0.068
"３０","家","单位",3080,26,27,"010801.csv",3988,0.373
"一","项","调查",3092,2,4,"010801.csv",4789,0.67
"２４","位","人物",3103,22,23,"010801.csv",1102,0.252
"２４","位","之一",3104,25,28,"010801.csv",189,0.063
"一","个","世界",3109,43,47,"010801.csv",2446,0.897
"一","阵","雷鸣",3112,6,8,"010801.csv",9,0.6
"一","份","惊喜",3114,33,36,"010801.csv",141,0.096
"一","位","母亲",3118,17,22,"010801.csv",983,0.465
"一","位","人士",3122,2,4,"010801.csv",16112,0.844
"一","个","帽",3131,6,10,"010801.csv",265,0.805
"一","位","妈妈",3141,6,8,"010801.csv",375,0.347
"一","个","雕像",3145,32,37,"010801.csv",36,0.157
"一","名","手臂",3146,10,11,"010801.csv",41,0.148
"５","名","球员",3147,25,27,"010801.csv",16827,0.689
"４","名","国奥",3148,15,16,"010801.csv",35,0.673
"５","名","员",3149,3,5,"010801.csv",428,0.787
"５","名","球员",3150,19,21,"010801.csv",16827,0.689
"一","位","球迷",3155,3,4,"010801.csv",707,0.184
"１５","场","比赛",3159,18,19,"010801.csv",68993,0.883
"６","个","客场",3160,20,21,"010801.csv",2147,0.914
"８","场","比赛",3160,14,15,"010801.csv",68993,0.883
"首","个","案例",3163,11,13,"010801.csv",1495,0.816
"两","家","公司",3166,21,22,"010801.csv",70737,0.854
"多","项","措施",3170,6,8,"010801.csv",4294,0.755
"一","间","病房",3177,9,10,"010801.csv",214,0.553
"多","位","候选人",3203,15,16,"010801.csv",1027,0.417
"一","份","声明",3231,5,6,"010801.csv",2617,0.808
"三","部","大戏",3242,11,12,"010801.csv",323,0.424
"三","个","角色",3244,49,50,"010801.csv",3656,0.94
"８","只","股",3252,3,5,"010801.csv",2105,0.636
"５５","个","航班",3263,24,25,"010801.csv",4321,0.894
"第一","项","第二",3267,20,22,"010801.csv",23,0.044
"三","个","街道",3275,20,21,"010801.csv",321,0.375
"第一","个","市场",3298,21,29,"010801.csv",8475,0.877
"１５","名","球员",3320,8,10,"010801.csv",16827,0.689
"１三","宗","地块",3322,56,57,"010801.csv",342,0.175
"４７６","名","人士",3347,55,58,"010801.csv",2068,0.108
"一","项","工作",3358,17,19,"010801.csv",3769,0.395
"一","场","戏",3364,15,16,"010801.csv",1220,0.336
"两","出","戏",3365,19,20,"010801.csv",237,0.065
"６０","家","机构",3376,9,12,"010801.csv",9296,0.596
"一","个","球员",3390,2,8,"010801.csv",3897,0.16
"一","个","情况",3393,5,10,"010801.csv",1560,0.499
"３","只","品种",3414,5,6,"010801.csv",324,0.078
"两","名","游客",3420,15,16,"010801.csv",3909,0.826
"５","名","代表",3430,16,18,"010801.csv",4920,0.503
"５","名","代表",3431,37,46,"010801.csv",4920,0.503
"５","名","代表",3433,24,25,"010801.csv",4920,0.503
"五","个","协会",3434,19,21,"010801.csv",647,0.737
